Sl. No.,Transaction Name,Organization Industry,Organization Location,Funding Type,Money Raised,Announced Date,Announced Year,Funding Status,Total Funding Amount
324,Post-IPO Equity - InterRent REIT,Real Estate,"Ottawa, Ontario, Canada, North America",Post-IPO Equity,201300000,2019-07-10,2019,,371731595
325,Pre Seed Round - PropertySpark,Real Estate,"Toronto, Ontario, Canada, North America",Pre-Seed,,2017-01-01,2017,Seed,
326,Post-IPO Debt - Katipult,"Enterprise Software, FinTech, Real Estate, Software","Calgary, Alberta, Canada, North America",Post-IPO Debt,3000000,2018-06-07,2018,,3000000
327,Non Equity Assistance - Local Logic,"Analytics, Artificial Intelligence, Big Data, Commercial Real Estate, Information Services, Information Technology, Predictive Analytics, Real Estate, Real Estate Investment, Sustainability","Montréal, Quebec, Canada, North America",Non-equity Assistance,,2017-10-01,2017,,9325000
328,Pre Seed Round - Offerland,"Real Estate, Real Estate Investment, Software","Vancouver, British Columbia, Canada, North America",Pre-Seed,,2020-03-01,2020,Seed,
329,Angel Round - Fraction,"Financial Services, FinTech, Lending, Real Estate","Vancouver, British Columbia, Canada, North America",Angel,200000,2018-08-01,2018,Seed,309200000
330,Pre Seed Round - Roomvu,"Advertising, Real Estate, Social Media","Vancouver, British Columbia, Canada, North America",Pre-Seed,300000,2020-12-01,2020,Seed,1045650
331,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,202500,2011-02-01,2011,,29668690
332,Post-IPO Equity - Spacefy,"Commercial Real Estate, E-Commerce, Marketplace, Real Estate, Sharing Economy","Toronto, Ontario, Canada, North America",Post-IPO Equity,1409400,2019-02-28,2019,,3391741
333,Pre Seed Round - Fundscraper,"Marketplace, Real Estate, Real Estate Investment","Toronto, Ontario, Canada, North America",Pre-Seed,,2019-05-01,2019,Seed,
334,Seed Round - Avenue HQ,"Advertising, Digital Marketing, Real Estate, Web Design","Vancouver, British Columbia, Canada, North America",Seed,4500000,2018-05-24,2018,Seed,6450000
335,Venture Round - My Home Search,"Real Estate, Search Engine","Vancouver, British Columbia, Canada, North America",Venture - Series Unknown,1000000,2015-08-22,2015,,1500000
336,Post-IPO Equity - Legend Power Systems,"Commercial Real Estate, Energy, Energy Efficiency, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,1282373,2012-01-19,2012,,18410655
337,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,1405920,2012-07-31,2012,,29668690
338,Non Equity Assistance - NanoQuan,"Manufacturing, Nanotechnology, Real Estate","Kitchener, Ontario, Canada, North America",Non-equity Assistance,,2017-10-13,2017,,403000
339,Pre Seed Round - Ascend Build,"Artificial Intelligence, Information Technology, Real Estate","Toronto, Ontario, Canada, North America",Pre-Seed,,2020-01-01,2020,Seed,
340,Seed Round - Silofit,"Apps, Fitness, Real Estate","Montréal, Quebec, Canada, North America",Seed,1000000,2019-11-21,2019,Seed,18900000
341,Post-IPO Equity - Passport Potash,"Business Development, Property Development, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,1147046,2014-03-04,2014,,1147046
342,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,293385,2015-12-24,2015,,29668690
343,Pre Seed Round - Silofit,"Apps, Fitness, Real Estate","Montréal, Quebec, Canada, North America",Pre-Seed,150000,2018-08-24,2018,Seed,18900000
344,Post-IPO Equity - OneMove Technologies,"B2B, Legal, Real Estate, SaaS, Software","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,500000,2008-09-05,2008,,14363708
345,Convertible Note - The FoodRoom,"Collaboration, Coworking, Food and Beverage, Real Estate, Sharing Economy, Social Entrepreneurship","Montréal, Quebec, Canada, North America",Convertible Note,350000,2016-06-01,2016,,780000
346,Seed Round - Yardly,"Customer Service, Home and Garden, Home Services, Marketplace, Real Estate","Edmonton, Alberta, Canada, North America",Seed,1000000,2019-09-18,2019,Seed,1027329
347,Pre Seed Round - Niki App Limited,"E-Commerce Platforms, Real Estate, Rental Property, Software","Vancouver, British Columbia, Canada, North America",Pre-Seed,65000,2019-09-21,2019,Seed,65000
348,Post-IPO Equity - Legend Power Systems,"Commercial Real Estate, Energy, Energy Efficiency, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,7500000,2021-05-25,2021,,18410655
349,Private Equity Round - Konfidis,"Real Estate, Real Estate Investment","Toronto, Ontario, Canada, North America",Private Equity,,2019-09-01,2019,Private Equity,
350,Private Equity Round - Energere,"Energy, Infrastructure, Real Estate","Montreal, Quebec, Canada, North America",Private Equity,8250000,2014-10-29,2014,Private Equity,8250000
351,Debt Financing - Parity,"Energy, Real Estate, Software","Toronto, Ontario, Canada, North America",Debt Financing,1000000,2019-08-10,2019,,10511894
352,Seed Round - TZOA,"CleanTech, Commercial Real Estate, Consumer Electronics, Hardware, Internet of Things, Real Estate, Smart Building, Smart Home, Sustainability","Vancouver, British Columbia, Canada, North America",Seed,,2015-01-31,2015,Seed,227633
353,Equity Crowdfunding - LoftyVistas,Real Estate,"Markham, Ontario, Canada, North America",Equity Crowdfunding,,2014-02-08,2014,,
354,Post-IPO Equity - CanWel Building Materials Group,"Building Material, Consumer Goods, Manufacturing, Real Estate, Wearables","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,25000000,2016-03-30,2016,,242771392
355,Non Equity Assistance - PiinPoint,"Analytics, Commercial Real Estate, Geospatial, Real Estate, Real Estate Investment, Retail, SaaS, Software","Kitchener, Ontario, Canada, North America",Non-equity Assistance,,2013-10-20,2013,,1423960
356,Debt Financing - Properly,"Internet, Real Estate","Toronto, Ontario, Canada, North America",Debt Financing,100000000,2020-09-30,2020,,202000000
357,Venture Round - InvestorPlus.com,"Property Management, Real Estate, Real Estate Investment","Calgary, Alberta, Canada, North America",Venture - Series Unknown,,2000-06-19,2000,,3000000
358,Non Equity Assistance - Reinvr,"Property Development, Real Estate, Real Estate Investment, Virtual Reality","Edmonton, Alberta, Canada, North America",Non-equity Assistance,,2018-01-01,2018,,
359,Angel Round - My Home Search,"Real Estate, Search Engine","Vancouver, British Columbia, Canada, North America",Angel,500000,2014-09-15,2014,Seed,1500000
360,Convertible Note - Roof AI,Real Estate,"Montréal, Quebec, Canada, North America",Convertible Note,100000,2016-02-02,2016,,350000
361,Non Equity Assistance - Ryna,Real Estate,"Toronto, Ontario, Canada, North America",Non-equity Assistance,30000,2020-05-19,2020,,30000
362,Non Equity Assistance - addy invest,"E-Commerce, Real Estate","Vancouver, British Columbia, Canada, North America",Non-equity Assistance,,2019-01-01,2019,,
363,Pre Seed Round - Ratio.City,Real Estate,"Toronto, Ontario, Canada, North America",Pre-Seed,,2018-05-01,2018,Seed,1100000
364,Product Crowdfunding - Rover Parking,"Internet, Real Estate","Toronto, Ontario, Canada, North America",Product Crowdfunding,4800,2015-05-17,2015,,4800
365,Post-IPO Debt - American Hotel Income Properties,"Property Management, Real Estate, Real Estate Investment","Vancouver, British Columbia, Canada, North America",Post-IPO Debt,48875000,2017-06-09,2017,,578393343
366,Seed Round - NorthLabs,"Machine Learning, Real Estate","Toronto, Ontario, Canada, North America",Seed,100000,2014-12-05,2014,Seed,100000
367,Funding Round - Parkbench.com,"Communities, Coupons, Events, Local, Marketing, News, Real Estate, SaaS, Small and Medium Businesses","Toronto, Ontario, Canada, North America",Funding Round,,2020-10-14,2020,,1267323
368,Venture Round - Artscape,"Consulting, Non Profit, Real Estate","Toronto, Ontario, Canada, North America",Venture - Series Unknown,21400000,2017-04-21,2017,,21400000
369,Post-IPO Equity - PROREIT,"Real Estate, Real Estate Investment","Montréal, Quebec, Canada, North America",Post-IPO Equity,11100000,2013-11-26,2013,,188471425
370,Equity Crowdfunding - ROI land investment,"Infrastructure, Property Development, Real Estate","Montreal, Quebec, Canada, North America",Equity Crowdfunding,2500000,2014-07-21,2014,,2500000
371,Pre Seed Round - 7Square,"Analytics, Artificial Intelligence, Internet, Machine Learning, Real Estate","Montréal, Quebec, Canada, North America",Pre-Seed,30000,2020-05-01,2020,Seed,30000
372,Equity Crowdfunding - United Qavik Group,"Energy, Finance, Financial Services, Real Estate, Venture Capital","Iqaluit, Nunavut, Canada, North America",Equity Crowdfunding,,2014-08-24,2014,,
373,Post-IPO Equity - PROREIT,"Real Estate, Real Estate Investment","Montréal, Quebec, Canada, North America",Post-IPO Equity,21795975,2017-05-23,2017,,188471425
374,Seed Round - Clik.ai,"Artificial Intelligence, Real Estate","Toronto, Ontario, Canada, North America",Seed,2000000,2019-05-28,2019,Seed,2000000
375,Post-IPO Equity - Parkit Enterprise,"Commercial Real Estate, Parking, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,561569,2019-02-11,2019,,108122939
376,Grant - VEERUM,"Enterprise Software, Information Technology, Internet of Things, Project Management, Real Estate, SaaS, Software","Calgary, Alberta, Canada, North America",Grant,1500000,2018-11-20,2018,,16431871
377,Seed Round - Willful,"Building Material, E-Commerce, Internet, Legal Tech, Real Estate","Toronto, Ontario, Canada, North America",Seed,800000,2020-07-15,2020,Seed,1342257
378,Seed Round - Ratio.City,Real Estate,"Toronto, Ontario, Canada, North America",Seed,1000000,2019-07-23,2019,Seed,1100000
379,Pre Seed Round - Roost,"Internet, Marketplace, Real Estate, Rental, Rental Property","Toronto, Ontario, Canada, North America",Pre-Seed,,2019-12-23,2019,Seed,
380,Seed Round - Modern City Real Estate,"Building Material, Commercial Real Estate, Real Estate","Toronto, Ontario, Canada, North America",Seed,3000000,2017-01-15,2017,Seed,3450000
381,Seed Round - Virtuo,"Home Services, Information Technology, Real Estate","Calgary, Alberta, Canada, North America",Seed,,2018-01-01,2018,Seed,
382,Seed Round - Alate Partners,"Home Services, Property Development, Property Management, Real Estate, Real Estate Investment","Toronto, Ontario, Canada, North America",Seed,40000000,2018-11-13,2018,Seed,40000000
383,Pre Seed Round - Concrete MRI,"Construction, Professional Services, Real Estate","Vancouver, British Columbia, Canada, North America",Pre-Seed,,2020-01-01,2020,Seed,160000
384,Seed Round - PiinPoint,"Analytics, Commercial Real Estate, Geospatial, Real Estate, Real Estate Investment, Retail, SaaS, Software","Kitchener, Ontario, Canada, North America",Seed,1400000,2014-09-25,2014,Seed,1423960
385,Venture Round - Skyline International Development,"Consulting, Financial Services, Real Estate","Toronto, Ontario, Canada, North America",Venture - Series Unknown,40000000,2013-01-01,2013,,40000000
386,Debt Financing - Avison Young,"Commercial Real Estate, Real Estate, Retail","Toronto, Ontario, Canada, North America",Debt Financing,7700000,2018-07-24,2018,,329949311
387,Venture Round - Casalova,"Property Management, Real Estate","Toronto, Ontario, Canada, North America",Venture - Series Unknown,2500000,2017-04-05,2017,,2500000
388,Debt Financing - Avenue HQ,"Advertising, Digital Marketing, Real Estate, Web Design","Vancouver, British Columbia, Canada, North America",Debt Financing,1350000,2017-11-10,2017,,6450000
389,Seed Round - Local Logic,"Analytics, Artificial Intelligence, Big Data, Commercial Real Estate, Information Services, Information Technology, Predictive Analytics, Real Estate, Real Estate Investment, Sustainability","Montréal, Quebec, Canada, North America",Seed,1150000,2017-06-13,2017,Seed,9325000
390,Post-IPO Debt - Falco Resources,"Business Intelligence, Mining, Precious Metals, Real Estate","Montréal, Quebec, Canada, North America",Post-IPO Debt,10000000,2016-05-30,2016,,145006567
391,Venture Round - Moody's Equipment,"Agriculture, Real Estate","Saskatoon, Saskatchewan, Canada, North America",Venture - Series Unknown,14551000,2020-01-02,2020,,14551000
392,Pre Seed Round - Ratio.City,Real Estate,"Toronto, Ontario, Canada, North America",Pre-Seed,,2019-04-18,2019,Seed,1100000
393,Seed Round - Willful,"Building Material, E-Commerce, Internet, Legal Tech, Real Estate","Toronto, Ontario, Canada, North America",Seed,,2020-10-16,2020,Seed,1342257
394,Grant - NanoQuan,"Manufacturing, Nanotechnology, Real Estate","Kitchener, Ontario, Canada, North America",Grant,253000,2016-02-12,2016,,403000
395,Pre Seed Round - Happipad,"Real Estate, Rental, Sharing Economy, Travel Accommodations","Kelowna, British Columbia, Canada, North America",Pre-Seed,200000,2019-01-04,2019,Seed,677090
396,Seed Round - NanoQuan,"Manufacturing, Nanotechnology, Real Estate","Kitchener, Ontario, Canada, North America",Seed,120000,2018-07-16,2018,Seed,403000
397,Seed Round - Student-Stop,"Education, Finance, Food and Beverage, Higher Education, Internet, Real Estate, Travel, Travel Accommodations","Markham, Ontario, Canada, North Americ",Seed,,13-Jan-19,2019,Seed,
398,Post-IPO Equity - Tricon Residential,"Property Management, Real Estate, Rental, Venture Capital","Toronto, Ontario, Canada, North America",Post-IPO Equity,150000000,2015-08-18,2015,,672221396
399,Pre Seed Round - ShapeMeasure,"Building Material, Real Estate","Vancouver, British Columbia, Canada, North America",Pre-Seed,,2019-05-29,2019,Seed,
400,Post-IPO Equity - Roxgold Inc.,"Mining, Precious Metals, Real Estate","Toronto, Ontario, Canada, North America",Post-IPO Equity,18400000,2015-09-09,2015,,170915255
401,Seed Round - Casalova,"Property Management, Real Estate","Toronto, Ontario, Canada, North America",Seed,,2016-10-01,2016,Seed,2500000
402,Angel Round - ShapeMeasure,"Building Material, Real Estate","Vancouver, British Columbia, Canada, North America",Angel,,2018-03-05,2018,Seed,
403,Venture Round - Groupe financier Pentagone inc,"Home Services, Real Estate, Real Estate Investment, Rental, Rental Property, Residential, Social Assistance","Rouyn-noranda, Quebec, Canada, North America",Venture - Series Unknown,,2016-01-01,2016,,
404,Post-IPO Equity - American Hotel Income Properties,"Property Management, Real Estate, Real Estate Investment","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,42900000,2015-08-31,2015,,578393343
405,Venture Round - ARXX,"Building Material, Manufacturing, Real Estate, Renewable Energy","Cobourg, Ontario, Canada, North America",Venture - Series Unknown,,1996-01-01,1996,,
406,Seed Round - TZOA,"CleanTech, Commercial Real Estate, Consumer Electronics, Hardware, Internet of Things, Real Estate, Smart Building, Smart Home, Sustainability","Vancouver, British Columbia, Canada, North America",Seed,125000,2020-06-30,2020,Seed,227633
407,Post-IPO Equity - Fronsac Real Estate Investment Trust,Real Estate,"Pointe-claire, Quebec, Canada, North America",Post-IPO Equity,18000000,2020-01-20,2020,,35249999
408,Series A - Falkbuilt,"Construction, Interior Design, Real Estate, Software","Calgary, Alberta, Canada, North America",Series A,20000000,2020-11-09,2020,Early Stage Venture,48224298
409,Series A - Nobul Technologies,"Apps, Blockchain, Marketplace, Real Estate, Web Apps","Toronto, Ontario, Canada, North America",Series A,,2018-05-14,2018,Early Stage Venture,50000000
410,Venture Round - Virtuo,"Home Services, Information Technology, Real Estate","Calgary, Alberta, Canada, North America",Venture - Series Unknown,,2019-03-01,2019,,
411,Series A - Sensopia,"Augmented Reality, Mobile, Real Estate, Software","Montréal, Quebec, Canada, North America",Series A,1200000,2013-05-20,2013,Early Stage Venture,1200000
412,Seed Round - Estated,"Analytics, Big Data, Database, Information Technology, Market Research, Real Estate, Software","Kelowna, British Columbia, Canada, North America",Seed,3000000,2017-12-15,2017,Seed,3000000
413,Pre Seed Round - RuListing Inc.,"Marketing, Private Social Networking, Real Estate, Software","Toronto, Ontario, Canada, North America",Pre-Seed,360000,2016-03-01,2016,Seed,360000
414,Convertible Note - RURALTY International,"Construction, Finance, FinTech, GreenTech, Internet, Marketplace, Real Estate, Real Estate Investment","Surrey, British Columbia, Canada, North America",Convertible Note,150000,2015-07-04,2015,,2300000
415,Seed Round - VEERUM,"Enterprise Software, Information Technology, Internet of Things, Project Management, Real Estate, SaaS, Software","Calgary, Alberta, Canada, North America",Seed,2500000,2019-09-24,2019,Seed,16431871
416,Seed Round - Relogix,"Analytics, Business Intelligence, Information Services, Information Technology, Real Estate, SaaS, Software","Ottawa, Ontario, Canada, North America",Seed,1000000,2017-06-17,2017,Seed,6400000
417,Post-IPO Equity - PROREIT,"Real Estate, Real Estate Investment","Montréal, Quebec, Canada, North America",Post-IPO Equity,28980000,2016-10-18,2016,,188471425
418,Venture Round - The Dream Detective Properties,Real Estate,"Vancouver, British Columbia, Canada, North America",Venture - Series Unknown,,01-Jan-12,2012,,
419,Pre Seed Round - Roomvu,"Advertising, Real Estate, Social Media","Vancouver, British Columbia, Canada, North America",Pre-Seed,700000,2019-01-01,2019,Seed,1045650
420,Debt Financing - Parkbench.com,"Communities, Coupons, Events, Local, Marketing, News, Real Estate, SaaS, Small and Medium Businesses","Toronto, Ontario, Canada, North America",Debt Financing,500000,2019-01-01,2019,,1267323
421,Seed Round - Silofit,"Apps, Fitness, Real Estate","Montréal, Quebec, Canada, North America",Seed,2500000,2020-11-16,2020,Seed,18900000
422,Venture Round - Spacefy,"Commercial Real Estate, E-Commerce, Marketplace, Real Estate, Sharing Economy","Toronto, Ontario, Canada, North America",Venture - Series Unknown,395000,2018-02-23,2018,,3391741
423,Pre Seed Round - Homewise,"Consumer Lending, Financial Services, FinTech, Real Estate","Toronto, Ontario, Canada, North America",Pre-Seed,,2020-10-14,2020,Seed,3800000
424,Series A - Local Logic,"Analytics, Artificial Intelligence, Big Data, Commercial Real Estate, Information Services, Information Technology, Predictive Analytics, Real Estate, Real Estate Investment, Sustainability","Montréal, Quebec, Canada, North America",Series A,8000000,2020-11-09,2020,Early Stage Venture,9325000
425,Pre Seed Round - ICAREUM,"3D Technology, Construction, E-Commerce Platforms, Real Estate, Smart Building, Smart Cities, Software, Virtual Reality","Toronto, Ontario, Canada, North America",Pre-Seed,550000,2020-04-01,2020,Seed,550000
426,Series A - Parity,"Energy, Real Estate, Software","Toronto, Ontario, Canada, North America",Series A,5000000,2019-05-02,2019,Early Stage Venture,10511894
427,Series C - Breather,Real Estate,"Montréal, Quebec, Canada, North America",Series C,45000000,2018-06-11,2018,Late Stage Venture,131500000
428,Post-IPO Equity - Falco Resources,"Business Intelligence, Mining, Precious Metals, Real Estate","Montréal, Quebec, Canada, North America",Post-IPO Equity,10000000,2014-10-22,2014,,145006567
429,Seed Round - Hausvalet,"Apps, Information Technology, Property Management, Real Estate, Virtual Reality","Longueuil, Quebec, Canada, North America",Seed,3000000,2019-09-16,2019,Seed,3633787
430,Pre Seed Round - HILO,"Commercial Real Estate, Communities, Enterprise Software, Real Estate, Residential, SaaS, Smart Building","Toronto, Ontario, Canada, North America",Pre-Seed,500000,2018-01-01,2018,Seed,583765
431,Venture Round - Breezeful,"Finance, Financial Services, FinTech, Machine Learning, Real Estate","Toronto, Ontario, Canada, North America",Venture - Series Unknown,,2020-08-01,2020,,150000
432,Non Equity Assistance - Gabbi.Ai,"Artificial Intelligence, Real Estate, SaaS, Software","Edmonton, Alberta, Canada, North America",Non-equity Assistance,,2019-01-01,2019,,
433,Seed Round - Unreserved,"Property Management, Real Estate","Nepean, Ontario, Canada, North America",Seed,10000000,2021-12-01,2021,Seed,37064757
434,Venture Round - Allur Group,"Real Estate, Software","Vancouver, British Columbia, Canada, North America",Venture - Series Unknown,,2015-01-01,2015,,
435,Non Equity Assistance - Keylo,Real Estate,"Edmonton, Alberta, Canada, North America",Non-equity Assistance,,2019-01-01,2019,,
436,Post-IPO Equity - American Hotel Income Properties,"Property Management, Real Estate, Real Estate Investment","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,40300000,2013-10-31,2013,,578393343
437,Post-IPO Equity - Spacefy,"Commercial Real Estate, E-Commerce, Marketplace, Real Estate, Sharing Economy","Toronto, Ontario, Canada, North America",Post-IPO Equity,2002500,2018-11-28,2018,,3391741
438,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,2000000,2011-03-15,2011,,29668690
439,Corporate Round - BLOCKStrain Technology Corp.,"Blockchain, Cannabis, Genetics, Information Technology, Intellectual Property, Quality Assurance, Real Estate, Software","Vancouver, British Columbia, Canada, North America",Corporate Round,,2018-03-19,2018,,
440,Pre Seed Round - SingleKey,"Real Estate, Rental","Toronto, Ontario, Canada, North America",Pre-Seed,,2019-01-01,2019,Seed,1500000
441,Series A - VEERUM,"Enterprise Software, Information Technology, Internet of Things, Project Management, Real Estate, SaaS, Software","Calgary, Alberta, Canada, North America",Series A,7400000,2021-02-03,2021,Early Stage Venture,16431871
442,Pre Seed Round - FundMore.ai,"Artificial Intelligence, Blockchain, Financial Services, FinTech, Machine Learning, Real Estate, Software","Ottawa, Ontario, Canada, North America",Pre-Seed,,2020-08-01,2020,Seed,
443,Post-IPO Equity - Falco Resources,"Business Intelligence, Mining, Precious Metals, Real Estate","Montréal, Quebec, Canada, North America",Post-IPO Equity,36500000,2016-11-22,2016,,145006567
444,Seed Round - CommNet,"Commercial Real Estate, Real Estate, Sales","Toronto, Ontario, Canada, North America",Seed,200000,2015-01-01,2015,Seed,200000
445,Debt Financing - Art Massif,"Building Material, Manufacturing, Real Estate","Saint Jean Port Joli, Quebec, Canada, North America",Debt Financing,650000,2019-08-01,2019,,650000
446,Pre Seed Round - Rover Parking,"Internet, Real Estate","Toronto, Ontario, Canada, North America",Pre-Seed,,2016-01-01,2016,Seed,4800
447,Post-IPO Debt - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Debt,3500000,2022-01-11,2022,,29668690
448,Venture Round - RURALTY International,"Construction, Finance, FinTech, GreenTech, Internet, Marketplace, Real Estate, Real Estate Investment","Surrey, British Columbia, Canada, North America",Venture - Series Unknown,2000000,2015-09-01,2015,,2300000
449,Equity Crowdfunding - Bonaire Dreams,"Hotel, Real Estate, Recreation, Sports","Nanaimo, British Columbia, Canada, North America",Equity Crowdfunding,75000,2014-07-04,2014,,75000
450,Seed Round - RURALTY International,"Construction, Finance, FinTech, GreenTech, Internet, Marketplace, Real Estate, Real Estate Investment","Surrey, British Columbia, Canada, North America",Seed,150000,2014-01-06,2014,Seed,2300000
451,Series A - Data Nerds,"Big Data, Cloud Data Services, Data Integration, Real Estate, Software","Kelowna, British Columbia, Canada, North America",Series A,3000000,2017-12-07,2017,Early Stage Venture,3320000
452,Grant - Oleotech,Real Estate,"Waterloo, Ontario, Canada, North America",Grant,5000,2018-11-27,2018,,5000
453,Pre Seed Round - Real Estate Dot Love Inc.,"Mobile, Real Estate, Software","Toronto, Ontario, Canada, North America",Pre-Seed,800000,2019-08-07,2019,Seed,1000000
454,Seed Round - Properly,"Internet, Real Estate","Toronto, Ontario, Canada, North America",Seed,,2018-03-13,2018,Seed,202000000
455,Pre Seed Round - STUDEO,"Hospitality, Real Estate","Toronto, Ontario, Canada, North America",Pre-Seed,,2014-11-07,2014,Seed,
456,Seed Round - Perch,"Apps, Collaboration, Communications Infrastructure, Computer Vision, Human Resources, Real Estate, Software, Telecommunications, Video, Video Conferencing","Vancouver, British Columbia, Canada, North America",Seed,1400000,2012-11-28,2012,Seed,1400000
457,"Seed Round - CityBlast Media, Inc.","Building Material, Real Estate","Toronto, Ontario, Canada, North America",Seed,,2015-10-10,2015,Seed,
458,Non Equity Assistance - Yardly,"Customer Service, Home and Garden, Home Services, Marketplace, Real Estate","Edmonton, Alberta, Canada, North America",Non-equity Assistance,,2017-01-01,2017,,1027329
459,Grant - Happipad,"Real Estate, Rental, Sharing Economy, Travel Accommodations","Kelowna, British Columbia, Canada, North America",Grant,450000,2021-05-01,2021,,677090
460,Pre Seed Round - BuzzBuzzHome,Real Estate,"Toronto, Ontario, Canada, North America",Pre-Seed,,2012-06-01,2012,Seed,
461,Pre Seed Round - Yardly,"Customer Service, Home and Garden, Home Services, Marketplace, Real Estate","Edmonton, Alberta, Canada, North America",Pre-Seed,100000,2017-06-23,2017,Seed,1027329
462,Non Equity Assistance - TZOA,"CleanTech, Commercial Real Estate, Consumer Electronics, Hardware, Internet of Things, Real Estate, Smart Building, Smart Home, Sustainability","Vancouver, British Columbia, Canada, North America",Non-equity Assistance,,2016-10-04,2016,,227633
463,Pre Seed Round - Arextech,"Commercial Real Estate, Information Technology, Real Estate, Real Estate Investment, Software","Toronto, Ontario, Canada, North America",Pre-Seed,677000,2020-03-01,2020,Seed,797289
464,Post-IPO Debt - Kadestone,"Property Development, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Debt,4750000,2021-12-29,2021,,4750000
465,Post-IPO Equity - Parkit Enterprise,"Commercial Real Estate, Parking, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,718271,2018-11-07,2018,,108122939
466,Private Equity Round - Avison Young,"Commercial Real Estate, Real Estate, Retail","Toronto, Ontario, Canada, North America",Private Equity,40000000,2011-10-01,2011,Private Equity,329949311
467,Grant - BisRing,"Real Estate, Social Network","Richmond Hill, Ontario, Canada, North America",Grant,20000,2018-12-15,2018,,400020
468,Series A - Silofit,"Apps, Fitness, Real Estate","Montréal, Quebec, Canada, North America",Series A,12750000,2021-07-29,2021,Early Stage Venture,18900000
469,Non Equity Assistance - TruHome,"Commercial Real Estate, Property Management, Real Estate","Edmonton, Alberta, Canada, North America",Non-equity Assistance,,2017-01-01,2017,,
470,Seed Round - Un-Lease.com,"E-Commerce, Marketplace, Real Estate","Toronto, Ontario, Canada, North America",Seed,20000,2013-11-12,2013,Seed,20000
471,Series A - Properly,"Internet, Real Estate","Toronto, Ontario, Canada, North America",Series A,12000000,2019-08-13,2019,Early Stage Venture,202000000
472,Post-IPO Equity - Roxgold Inc.,"Mining, Precious Metals, Real Estate","Toronto, Ontario, Canada, North America",Post-IPO Equity,29000000,2014-03-25,2014,,170915255
473,Venture Round - Evercondo,"Mobile, Real Estate, SaaS","Toronto, Ontario, Canada, North America",Venture - Series Unknown,,2015-03-01,2015,,
474,Non Equity Assistance - Roomvu,"Advertising, Real Estate, Social Media","Vancouver, British Columbia, Canada, North America",Non-equity Assistance,,2020-08-10,2020,,1045650
475,Series C - Breather,Real Estate,"Montréal, Quebec, Canada, North America",Series C,54000000,2016-12-05,2016,Late Stage Venture,131500000
476,Seed Round - Breezeful,"Finance, Financial Services, FinTech, Machine Learning, Real Estate","Toronto, Ontario, Canada, North America",Seed,150000,2020-03-16,2020,Seed,150000
477,Seed Round - Apartmint,"E-Commerce, Online Portals, Real Estate, Rental","Toronto, Ontario, Canada, North America",Seed,110000,2014-07-01,2014,Seed,265000
478,Series A - BrainBox AI,"Artificial Intelligence, Information Services, Information Technology, Real Estate","Montréal, Quebec, Canada, North America",Series A,24000000,2021-10-28,2021,Early Stage Venture,38581788
479,Pre Seed Round - feeDuck,"Association, Non Profit, Real Estate","Oakville, Ontario, Canada, North America",Pre-Seed,,2016-01-01,2016,Seed,
480,Pre Seed Round - SingleKey,"Real Estate, Rental","Toronto, Ontario, Canada, North America",Pre-Seed,,2018-01-01,2018,Seed,1500000
481,Post-IPO Equity - OneMove Technologies,"B2B, Legal, Real Estate, SaaS, Software","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,1200000,2012-04-02,2012,,14363708
482,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,295000,2012-02-20,2012,,29668690
483,Pre Seed Round - RealSage,Real Estate,"Toronto, Ontario, Canada, North America",Pre-Seed,600000,2020-01-01,2020,Seed,1600000
484,Seed Round - QuoteToMe,"Construction, Property Management, Real Estate","Edmonton, Alberta, Canada, North America",Seed,1000000,2020-07-07,2020,Seed,3073370
485,Non Equity Assistance - Harbour City Imagery,"Architecture, Event Management, Photography, Real Estate","Ottawa, Ontario, Canada, North America",Non-equity Assistance,,2018-01-01,2018,,
486,Venture Round - letus (previously RentMoola),"Credit Cards, FinTech, Mobile Payments, Payments, Property Management, Real Estate","Vancouver, British Columbia, Canada, North America",Venture - Series Unknown,5000000,2017-07-31,2017,,10000000
